Location,Date of first case,Number of cases as of (date),Date of first death,shapefile_name,color,Population
AlaotraMangoro,5/9/20,1,7/26/20,Alaotra-Mangoro,#a5b440,1255514
AmoroniMania,7/2/20,1,,Amoron'i Mania,#d14761,833919
Analamanga,3/20/20,3,6/4/20,Analamanga,#9e4966,3618128
Analanjirofo,4/8/20,2,,Analanjirofo,#bf57c6,1152345
Androy,7/21/20,1,,Androy,#4f9ed5,903376
Anosy,4/27/20,1,8/13/20,Anosy,#d76c2e,809313
AtsimoAndrefana,4/6/20,2,8/2/20,Atsimo-Andrefana,#d76c2e,1799088
AtsimoAtsinanana,7/27/20,3,,Atsimo-Atsinanana,#5cb545,1026674
Atsinanana,3/30/20,2,5/17/20,Atsinanana,#bca160,1484403
Betsiboka,7/15/20,2,8/9/20,Betsiboka,#d34239,394561
Boeny,5/18/20,1,7/13/20,Boeny,#7065d8,931171
Bongolava,5/25/20,1,,Bongolava,#3fbfbc,674474
Diana,3/31/20,1,7/15/20,Diana,#5969b3,889736
HauteMatsiatra,3/30/20,1,7/30/20,Matsiatra Ambony,#62bd82,1447296
Ihorombe,6/15/20,1,8/14/20,Ihorombe,#d49b33,418520
Itasy,6/1/20,3,,Itasy,#dd88bd,897962
Melaky,9/9/20,1,,Melaky,#6e772d,309805
Menabe,3/28/20,1,8/3/20,Menabe,#98549c,700577
Sava,6/28/20,1,8/18/20,Sava,#a496e2,1123013
Sofia,7/14/20,1,7/26/20,Sofia,#d5458e,1500227
Vakinankaratra,5/9/20,1,7/14/20,Vakinankaratra,#3b804d,2074358
VatovavyFitovinany,7/1/20,1,,Vatovavy-Fitovinany,#a65858,1435882
