,Date,region,cum.sum,total
1,3/22/20,Analamanga,12,11722
2,3/28/20,Atsinanana,6,874
4,4/3/20,HauteMatsiatra,7,310
5,5/14/20,AlaotraMangoro,15,704
6,5/24/20,Anosy,7,107
7,5/24/20,AtsimoAndrefana,6,225
8,5/30/20,Analanjirofo,7,117
9,6/12/20,Itasy,5,71
10,6/17/20,Vakinankaratra,5,277
11,6/24/20,Boeny,5,412
12,7/7/20,Diana,5,586
13,7/16/20,Betsiboka,6,35
14,7/16/20,Bongolava,6,174
15,7/17/20,VatovavyFitovinany,12,111
16,7/22/20,AmoroniMania,13,78
17,7/22/20,Menabe,5,105
18,7/23/20,Sofia,5,176
19,7/26/20,Sava,7,212
20,7/27/20,Ihorombe,5,96
21,7/29/20,Androy,6,13
22,10/12/20,Melaky,9,9
,2/14/21,AtsimoAtsinanana,5,5
