week,region,cases,death,Notes
3/20/20,Alaotra-Mangoro,0,0,
3/20/20,Amoron'i Mania,0,0,
3/20/20,Analamanga,3,0,
3/20/20,Analanjirofo,0,0,
3/20/20,Androy,0,0,
3/20/20,Anosy,0,0,
3/20/20,Atsimo-Andrefana,0,0,
3/20/20,Atsimo-Atsinanana,0,0,
3/20/20,Atsinanana,0,0,
3/20/20,Betsiboka,0,0,
3/20/20,Boeny,0,0,
3/20/20,Bongolava,0,0,
3/20/20,Diana,0,0,
3/20/20,Ihorombe,0,0,
3/20/20,Itasy,0,0,
3/20/20,Matsiatra Ambony,0,0,
3/20/20,Melaky,0,0,
3/20/20,Menabe,0,0,
3/20/20,Sava,0,0,
3/20/20,Sofia,0,0,
3/20/20,unspecified,0,0,
3/20/20,Vakinankaratra,0,0,
3/20/20,Vatovavy-Fitovinany,0,0,
3/22/20,Alaotra-Mangoro,0,0,
3/22/20,Amoron'i Mania,0,0,
3/22/20,Analamanga,9,0,
3/22/20,Analanjirofo,0,0,
3/22/20,Androy,0,0,
3/22/20,Anosy,0,0,
3/22/20,Atsimo-Andrefana,0,0,
3/22/20,Atsimo-Atsinanana,0,0,
3/22/20,Atsinanana,0,0,
3/22/20,Betsiboka,0,0,
3/22/20,Boeny,0,0,
3/22/20,Bongolava,0,0,
3/22/20,Diana,0,0,
3/22/20,Ihorombe,0,0,
3/22/20,Itasy,0,0,
3/22/20,Matsiatra Ambony,0,0,
3/22/20,Melaky,0,0,
3/22/20,Menabe,0,0,
3/22/20,Sava,0,0,
3/22/20,Sofia,0,0,
3/22/20,unspecified,0,0,
3/22/20,Vakinankaratra,0,0,
3/22/20,Vatovavy-Fitovinany,0,0,
3/23/20,Alaotra-Mangoro,0,0,
3/23/20,Amoron'i Mania,0,0,
3/23/20,Analamanga,5,0,
3/23/20,Analanjirofo,0,0,
3/23/20,Androy,0,0,
3/23/20,Anosy,0,0,
3/23/20,Atsimo-Andrefana,0,0,
3/23/20,Atsimo-Atsinanana,0,0,
3/23/20,Atsinanana,0,0,
3/23/20,Betsiboka,0,0,
3/23/20,Boeny,0,0,
3/23/20,Bongolava,0,0,
3/23/20,Diana,0,0,
3/23/20,Ihorombe,0,0,
3/23/20,Itasy,0,0,
3/23/20,Matsiatra Ambony,0,0,
3/23/20,Melaky,0,0,
3/23/20,Menabe,0,0,
3/23/20,Sava,0,0,
3/23/20,Sofia,0,0,
3/23/20,unspecified,0,0,
3/23/20,Vakinankaratra,0,0,
3/23/20,Vatovavy-Fitovinany,0,0,
3/24/20,Alaotra-Mangoro,0,0,
3/24/20,Amoron'i Mania,0,0,
3/24/20,Analamanga,2,0,
3/24/20,Analanjirofo,0,0,
3/24/20,Androy,0,0,
3/24/20,Anosy,0,0,
3/24/20,Atsimo-Andrefana,0,0,
3/24/20,Atsimo-Atsinanana,0,0,
3/24/20,Atsinanana,0,0,
3/24/20,Betsiboka,0,0,
3/24/20,Boeny,0,0,
3/24/20,Bongolava,0,0,
3/24/20,Diana,0,0,
3/24/20,Ihorombe,0,0,
3/24/20,Itasy,0,0,
3/24/20,Matsiatra Ambony,0,0,
3/24/20,Melaky,0,0,
3/24/20,Menabe,0,0,
3/24/20,Sava,0,0,
3/24/20,Sofia,0,0,
3/24/20,unspecified,0,0,
3/24/20,Vakinankaratra,0,0,
3/24/20,Vatovavy-Fitovinany,0,0,
3/26/20,Alaotra-Mangoro,0,0,
3/26/20,Amoron'i Mania,0,0,
3/26/20,Analamanga,4,0,
3/26/20,Analanjirofo,0,0,
3/26/20,Androy,0,0,
3/26/20,Anosy,0,0,
3/26/20,Atsimo-Andrefana,0,0,
3/26/20,Atsimo-Atsinanana,0,0,
3/26/20,Atsinanana,0,0,
3/26/20,Betsiboka,0,0,
3/26/20,Boeny,0,0,
3/26/20,Bongolava,0,0,
3/26/20,Diana,0,0,
3/26/20,Ihorombe,0,0,
3/26/20,Itasy,0,0,
3/26/20,Matsiatra Ambony,0,0,
3/26/20,Melaky,0,0,
3/26/20,Menabe,0,0,
3/26/20,Sava,0,0,
3/26/20,Sofia,0,0,
3/26/20,unspecified,0,0,
3/26/20,Vakinankaratra,0,0,
3/26/20,Vatovavy-Fitovinany,0,0,
3/27/20,Alaotra-Mangoro,0,0,
3/27/20,Amoron'i Mania,0,0,
3/27/20,Analamanga,3,0,
3/27/20,Analanjirofo,0,0,
3/27/20,Androy,0,0,
3/27/20,Anosy,0,0,
3/27/20,Atsimo-Andrefana,0,0,
3/27/20,Atsimo-Atsinanana,0,0,
3/27/20,Atsinanana,0,0,
3/27/20,Betsiboka,0,0,
3/27/20,Boeny,0,0,
3/27/20,Bongolava,0,0,
3/27/20,Diana,0,0,
3/27/20,Ihorombe,0,0,
3/27/20,Itasy,0,0,
3/27/20,Matsiatra Ambony,0,0,
3/27/20,Melaky,0,0,
3/27/20,Menabe,0,0,
3/27/20,Sava,0,0,
3/27/20,Sofia,0,0,
3/27/20,unspecified,0,0,
3/27/20,Vakinankaratra,0,0,
3/27/20,Vatovavy-Fitovinany,0,0,
3/28/20,Alaotra-Mangoro,0,0,
3/28/20,Amoron'i Mania,0,0,
3/28/20,Analamanga,4,0,
3/28/20,Analanjirofo,0,0,
3/28/20,Androy,0,0,
3/28/20,Anosy,0,0,
3/28/20,Atsimo-Andrefana,0,0,
3/28/20,Atsimo-Atsinanana,0,0,
3/28/20,Atsinanana,6,0,
3/28/20,Betsiboka,0,0,
3/28/20,Boeny,0,0,
3/28/20,Bongolava,0,0,
3/28/20,Diana,0,0,
3/28/20,Ihorombe,0,0,
3/28/20,Itasy,0,0,
3/28/20,Matsiatra Ambony,0,0,
3/28/20,Melaky,0,0,
3/28/20,Menabe,1,0,
3/28/20,Sava,0,0,
3/28/20,Sofia,0,0,
