"","Analamanga","Bongolava","Itasy","Vakinankaratra","Diana","Sava","AmoroniMania","AtsimoAtsinanana","HauteMatsiatra","Ihorombe","VatovavyFitovinany","Betsiboka","Boeny","Melaky","Sofia","AlaotraMangoro","Analanjirofo","Atsinanana","Androy","Anosy","AtsimoAndrefana","Menabe"
"Analamanga",0.,1324.3831743359096,4043.857562358338,3174.396657557094,94.23795616047556,149.04286600764823,515.1765887018117,127.4035622822206,438.8773061928973,67.72918560960393,484.60209995030095,731.2165416636171,461.477701361747,135.60277232292353,435.4087343523898,3758.3412149895894,447.785254768026,2289.862330878455,60.0438578344305,74.25192751081767,180.66288671962346,229.18560518533434
"Bongolava",1324.3831743359096,0.,686.2002461028317,690.9159227474519,14.120606278215504,20.04546145041343,117.71979933429608,24.30893793924362,95.5312939052199,14.893181787880227,77.01641263017359,86.43719177506948,95.49816376288366,71.00272293025726,55.87985136556968,145.50244398223757,44.24078660825575,133.8008855879787,12.642187410877728,15.265640416954058,43.84516411134225,93.72389715591181
"Itasy",4043.857562358338,686.2002461028317,0.,3473.8132174320594,17.88949895304387,27.021828044459074,289.73996836105954,41.552913757638635,183.42608453498931,24.531162410686036,172.25970395225855,86.24134498365495,83.58949143048655,39.467087635293886,70.55837478986182,293.2720425945548,66.46238163371555,373.24367522767665,18.85041388691573,24.017193940770373,61.730362207083836,103.45383883116642
"Vakinankaratra",3174.396657557093,690.9159227474518,3473.8132174320594,0.,35.23089688223877,53.0108113471631,2452.1613213316273,141.53529940085153,860.1417153944483,90.50924642302074,715.2565596584191,111.29378450764482,134.23863772382225,70.55762372449128,125.6364848034037,423.43292966548125,120.29684120742306,756.59082589295,58.00147651226837,77.93624262727317,197.73866158694727,343.74208642721453
"Diana",94.23795616047556,14.1206062782155,17.88949895304387,35.23089688223877,0.,476.897305476812,10.865819691165617,7.339066811472186,14.896019841633072,3.3310227957408443,16.016100567599192,15.436874605840762,43.64309752668113,6.427489327173164,249.11039335294387,42.79251359405,88.66861847737663,32.4907867711911,4.597200861928582,4.908910195118808,11.590794513026779,8.145956949334542
"Sava",149.04286600764823,20.04546145041343,27.021828044459074,53.0108113471631,476.897305476812,0.,16.17658904667247,10.85408751082987,21.97894450437093,4.815885726577572,24.820951307061083,22.637190974574537,53.06864863405903,8.093389599827209,419.2873369354605,75.98343762645692,234.43198023994296,56.416837809784134,6.484670274255487,7.060325970600695,16.03928138259812,11.184290914023832
"AmoroniMania",515.1765887018117,117.71979933429607,289.73996836105954,2452.1613213316273,10.865819691165617,16.17658904667247,0.,85.97425640308097,1084.724734488306,65.27850509757272,500.7923730126244,24.944841707398464,35.141888624774715,19.30526314749068,35.35229548840171,94.83769110534418,33.574624661029034,183.05820820279374,30.600087897343688,44.52277258508595,111.10582051314398,162.6536770890286
"AtsimoAtsinanana",127.4035622822206,24.30893793924362,41.55291375763864,141.53529940085153,7.339066811472187,10.854087510829869,85.974256403081,0.,319.10925019788573,212.73735774217778,292.0641388315351,8.957993504096425,15.509769787408421,7.122726902724913,19.57171016811105,35.20184064470277,18.670173676825,64.0304711233751,148.46910501898526,515.6287489522888,219.91540957755583,41.23907088519939
"HauteMatsiatra",438.8773061928972,95.5312939052199,183.4260845349893,860.141715394448,14.896019841633075,21.97894450437093,1084.7247344883062,319.10925019788573,0.,369.2873253359338,1200.2617757184314,25.998055274404205,40.9171082124953,21.80153912209508,44.50615519929221,98.56543507201643,41.93512713605756,187.12847451549595,84.82225828555256,145.32315482865636,317.99107501338034,204.98347146032987
"Ihorombe",67.72918560960395,14.893181787880229,24.531162410686033,90.50924642302074,3.3310227957408447,4.815885726577572,65.27850509757272,212.73735774217778,369.2873253359338,0.,124.38886508246631,4.700024703623988,8.144387313706373,4.285847507814351,9.204898251137626,16.923207002299293,8.393565316396968,29.134478048512236,53.84251059829655,127.63045893304336,217.90047291872168,36.18332966100997
