"","AN","BG","IT","VA","DI","SA","AM","AA","MA","IH","VF","BE","BO","MK","SO","AL","AJ","AT","AY","AS","AD","ME"
"AN",0.,0.011318082719905562,0.02995081787091387,0.01510906130814562,0.0007011922260741497,0.000987098784031862,0.0039594603668841885,0.0008824845381562213,0.0025603908072183395,0.0007347837798773923,0.0028383616589582063,0.00817016345478211,0.0033564317086221076,0.0017098821270627566,0.0024949420555998463,0.023541126565105628,0.0029276580051367566,0.013190925778950322,0.0004433800309163615,0.0005792836745347087,0.000945332431498936,0.001921769137838369
"BG",0.011318082719905562,0.,0.011771262993367988,0.007616594745423865,0.00024334584478792026,0.0003074856404092583,0.0020955052405944863,0.00038998766921749317,0.0012908273293869438,0.0003742230679504886,0.001044780558588796,0.0022368905954507834,0.0016087237470027189,0.002073633332931036,0.0007416140111148525,0.00211086607853498,0.0006699351300576836,0.0017851891919139016,0.00021621664416377238,0.000275840443675678,0.0005313695567683853,0.0018202187083683641
"IT",0.02995081787091387,0.011771262993367988,0.,0.033189120029059695,0.00026719135063735185,0.00035923375170858013,0.0044699356777458685,0.0005777500616184771,0.0021480145284739844,0.0005342134513341273,0.0020252522374292438,0.0019342528389057383,0.0012203706708536833,0.0009989544100316497,0.0008115679355050857,0.003687352729279756,0.0008722469083258127,0.004315899719559231,0.0002794096592782689,0.00037611340002047955,0.0006483767327210296,0.0017412994894201758
"VA",0.01510906130814562,0.007616594745423865,0.033189120029059695,0.,0.0003381515414478707,0.00045288747828708834,0.024311141841835998,0.0012646394919376325,0.0064730592691979085,0.0012666396956964752,0.00540406703423555,0.0016041023928071955,0.0012594504008186097,0.001147672534398698,0.0009286574386397324,0.0034213074509584617,0.001014568131285508,0.005622162744731088,0.0005524882279831739,0.0007843311431952699,0.001334699939010484,0.0037181167686697043
"DI",0.0007011922260741497,0.00024334584478792026,0.00026719135063735185,0.0003381515414478707,0.,0.00636921155459371,0.00016840452513207724,0.00010251271999470021,0.00017524464610757767,0.00007287401437851625,0.0001891692791914253,0.0003478207571062716,0.0006401091616510389,0.0001634369881253449,0.00287850213793006,0.0005405180669241623,0.0011690467490341713,0.0003774309531486572,0.00006845613930242003,0.0000772289315222167,0.0001223038703437831,0.00013774231266202233
"SA",0.000987098784031862,0.0003074856404092583,0.00035923375170858013,0.00045288747828708834,0.00636921155459371,0.,0.00022316002711048798,0.00013494861262451974,0.0002301545360840843,0.00009377983237778699,0.00026094587391639504,0.00045400103624572413,0.0006928108729931711,0.00018317981787177717,0.004312455680964316,0.0008542786353681907,0.002751167182832503,0.0005833433019947155,0.00008594982789887181,0.00009886848550590019,0.00015064339346873334,0.00016833402370753116
"AM",0.0039594603668841885,0.0020955052405944863,0.0044699356777458685,0.024311141841835998,0.00016840452513207724,0.00022316002711048798,0.,0.0012404349405699044,0.013181435442875382,0.0014751423678322697,0.006109704066435819,0.0005805578733163512,0.0005323928589533375,0.000507053002944964,0.00042194998378133094,0.0012373485021023487,0.0004572374036484226,0.00219651988886055,0.0004706632012297431,0.0007235120820209828,0.0012109674010025535,0.0028409120751594504
"AA",0.0008824845381562213,0.00038998766921749317,0.0005777500616184771,0.0012646394919376325,0.00010251271999470021,0.00013494861262451974,0.0012404349405699044,0.,0.003494847338794613,0.0043326454348220885,0.0032113405023042932,0.00018789756952817318,0.0002117669236849108,0.00016860466199631263,0.00021053183910388587,0.0004139254120837134,0.00022915249711083556,0.000692433837691044,0.00205811346254737,0.007551728405622873,0.0021602148905249053,0.0006491550374380458
"MA",0.0025603908072183395,0.0012908273293869438,0.0021480145284739844,0.0064730592691979085,0.00017524464610757767,0.0002301545360840843,0.013181435442875382,0.003494847338794613,0.,0.006334486164333693,0.011115313034869284,0.0004592920023537385,0.0004705386583182347,0.0004346583643504094,0.00040322429154724255,0.0009761554008925647,0.00043350269455267107,0.001704390338389409,0.000990331640550929,0.0017925928395343916,0.0026308363005134966,0.002717665519512598
"IH",0.0007347837798773923,0.0003742230679504886,0.0005342134513341273,0.0012666396956964752,0.00007287401437851625,0.00009377983237778699,0.0014751423678322697,0.0043326454348220885,0.006334486164333693,0.,0.0021421397515367117,0.00015440762164863685,0.00017416840251480503,0.0001588979060135619,0.00015508370730813047,0.000311671834708387,0.00016135442654492669,0.0004934657341977007,0.0011690058883054076,0.002927667444076729,0.003352413957651495,0.0008920850516015975
