"","AN","BG","IT","VA","DI","SA","AM","AA","MA","IH","VF","BE","BO","MK","SO","AL","AJ","AT","AY","AS","AD","ME"
"AN",0.,0.013051012703369747,0.039849824008388185,0.031281801147984255,0.0009286593085922294,0.001468729273601517,0.005076760513057306,0.001255486736784901,0.004324876221125586,0.0006674310568941371,0.004775467013692904,0.00720570644439907,0.004547589745553842,0.0013362851012404657,0.004290695497578027,0.03703622931106974,0.004412658784561779,0.022565238632126186,0.0005916966981624631,0.000731708819601466,0.0017803258719196221,0.002258488557288658
"BG",0.013051012703369747,0.,0.0067620974824254675,0.006808567686054249,0.0001391502213916916,0.00019753616408290305,0.001160058981661723,0.00023955020268932235,0.0009414043869528555,0.00014676349599856856,0.0007589511850362898,0.0008517873903567996,0.0009410779089992894,0.0006996898306272181,0.000550662877758284,0.0014338405089869305,0.0004359667800226602,0.0013185285734292527,0.0001245812780583531,0.00015043385544870252,0.00043206815435826664,0.0009235935612097114
"IT",0.039849824008388185,0.0067620974824254675,0.,0.03423237421645207,0.00017629042909743104,0.0002662841297824136,0.0028552159835844018,0.00040947938317390713,0.0018075555517351682,0.00024174009339164785,0.0016975174769091603,0.0008498574360866188,0.0008237249881058963,0.0003889248006729689,0.0006953110425714671,0.002890022485648056,0.0006549474531287172,0.0036780956155618694,0.0001857596773118746,0.00023667523817452813,0.0006083162010512885,0.001019476380372277
"VA",0.031281801147984255,0.006808567686054249,0.03423237421645207,0.,0.0003471796468508945,0.0005223901856459911,0.024164599170069107,0.0013947466460240948,0.008476187761853849,0.0008919150799628504,0.0070484302633574015,0.0010967344070523233,0.0013228423617622147,0.0006953036412665562,0.0012380732336003397,0.004172681027045139,0.0011854542047927937,0.007455755004538768,0.0005715702384662133,0.0007680155655039038,0.0019485975315358599,0.0033873749105079965
"DI",0.0009286593085922294,0.0001391502213916916,0.00017629042909743104,0.0003471796468508945,0.,0.004699540822165456,0.00010707622504569789,0.00007232216177574988,0.00014679146333936466,0.00003282525908276274,0.0001578291962754641,0.00015212126708131574,0.0004300769077051512,0.00006333910493975682,0.002454835557557531,0.00042169490623822874,0.0008737767804387538,0.00032017748270316064,0.00004530269487835902,0.00004837440595567956,0.00011422042303392564,0.00008027358674363792
"SA",0.001468729273601517,0.00019753616408290305,0.0002662841297824136,0.0005223901856459911,0.004699540822165456,0.,0.000159410715294822,0.00010696061134902219,0.00021658949576812517,0.00004745770484969891,0.0002445957915318653,0.00022307612532598202,0.0005229601378929198,0.00007975556661207991,0.0041318286631440125,0.0007487718274628824,0.0023101884797968645,0.0005559545614951258,0.00006390258934610042,0.00006957533568670208,0.0001580576294939525,0.00011021457054549209
"AM",0.005076760513057306,0.001160058981661723,0.0028552159835844018,0.024164599170069107,0.00010707622504569789,0.000159410715294822,0.,0.0008472254361295491,0.010689320556012752,0.0006432810502237052,0.004935012576866764,0.00024581665813600304,0.000346302523129166,0.0001902419476947331,0.000348375958297541,0.0009345693416822072,0.00033085806392978433,0.0018039303481099704,0.0003015457638026223,0.0004387455850068208,0.0010948821330824152,0.0016028557649134696
"AA",0.001255486736784901,0.00023955020268932235,0.00040947938317390713,0.0013947466460240948,0.00007232216177574988,0.00010696061134902219,0.0008472254361295491,0.,0.003144632881781907,0.002096400809204388,0.002878119308636219,0.00008827572660554917,0.00015283960597227227,0.00007019025995759042,0.0001928676254579946,0.00034689331481909064,0.0001839835166680853,0.0006309824137209742,0.001463075198484251,0.005081216284836416,0.0021671362636441044,0.0004063866473294484
"MA",0.004324876221125586,0.0009414043869528555,0.0018075555517351682,0.008476187761853849,0.00014679146333936466,0.00021658949576812517,0.010689320556012752,0.003144632881781907,0.,0.003639108127879535,0.011827869747835744,0.00025619545477787803,0.00040321389565689796,0.0002148412706754217,0.00043858183050035057,0.0009713040532118555,0.0004132458699081141,0.0018440404147300868,0.0008358731761813205,0.0014320737204424156,0.0031336139268296217,0.0020199908469473353
"IH",0.0006674310568941371,0.00014676349599856856,0.00024174009339164785,0.0008919150799628504,0.00003282525908276274,0.00004745770484969891,0.0006432810502237052,0.002096400809204388,0.003639108127879535,0.,0.001225778679318424,0.00004631596300965261,0.00008025811891308868,0.000042234491764242015,0.00009070882682352258,0.00016676819356264708,0.00008271362072067236,0.0002871030457690937,0.0005305860897485696,0.0012577226690510478,0.0021472802548692153,0.00035656530844470157
"VF",0.004775467013692904,0.0007589511850362898,0.0016975174769091603,0.0070484302633574015,0.0001578291962754641,0.0002445957915318653,0.004935012576866764,0.002878119308636219,0.011827869747835744,0.001225778679318424,0.,0.00025774379325454723,0.00038074146013972995,0.00016559889222731485,0.0004781260838871545,0.0012161553808717653,0.0004994528529135131,0.0030283899463196726,0.000609767654728772,0.0010168915307904299,0.001580354933590255,0.000894072769649375
"BE",0.00720570644439907,0.0008517873903567996,0.0008498574360866188,0.0010967344070523233,0.00015212126708131574,0.00022307612532598202,0.00024581665813600304,0.00008827572660554917,0.00025619545477787803,0.00004631596300965261,0.00025774379325454723,0.,0.0020026310463650433,0.00021143694367791311,0.0009316726681257128,0.0018982908479048609,0.00062143345208011,0.0007694236919654439,0.0000478892903709211,0.00005557447232613982,0.00014319454673825788,0.00017052849622393386
"BO",0.004547589745553842,0.0009410779089992894,0.0008237249881058963,0.0013228423617622147,0.0004300769077051512,0.0005229601378929198,0.000346302523129166,0.00015283960597227227,0.00040321389565689796,0.00008025811891308868,0.00038074146013972995,0.0020026310463650433,0.,0.0005917688315174597,0.002294657959746784,0.0013785640127300422,0.0009358713620284327,0.0008171600758989727,0.00009181953861335152,0.00010177390541855793,0.0002754839146812763,0.0003037464794050436
"MK",0.0013362851012404657,0.0006996898306272181,0.0003889248006729689,0.0006953036412665562,0.00006333910493975682,0.00007975556661207991,0.0001902419476947331,0.00007019025995759042,0.0002148412706754217,0.000042234491764242015,0.00016559889222731485,0.00021143694367791311,0.0005917688315174597,0.,0.00022101495401092555,0.000275331201112003,0.00013718935758499435,0.0002366749513365059,0.00004422826591068307,0.0000489279825232525,0.00015635019746068933,0.0002753568066753901
"SO",0.004290695497578027,0.000550662877758284,0.0006953110425714671,0.0012380732336003397,0.002454835557557531,0.0041318286631440125,0.000348375958297541,0.0001928676254579946,0.00043858183050035057,0.00009070882682352258,0.0004781260838871545,0.0009316726681257128,0.002294657959746784,0.00022101495401092555,0.,0.0022755089878884398,0.006444204408503259,0.001256312675204983,0.00011222859984167637,0.00012448764748767643,0.0002976227826282654,0.000245229093144674
"AL",0.03703622931106974,0.0014338405089869305,0.002890022485648056,0.004172681027045139,0.00042169490623822874,0.0007487718274628824,0.0009345693416822072,0.00034689331481909064,0.0009713040532118555,0.00016676819356264708,0.0012161553808717653,0.0018982908479048609,0.0013785640127300422,0.000275331201112003,0.0022755089878884398,0.,0.003465276435518467,0.009949162049900463,0.0001661882261521646,0.00020160506928433176,0.0004566579857819348,0.0004440947937100706
"AJ",0.004412658784561779,0.0004359667800226602,0.0006549474531287172,0.0011854542047927937,0.0008737767804387538,0.0023101884797968645,0.00033085806392978433,0.0001839835166680853,0.0004132458699081141,0.00008271362072067236,0.0004994528529135131,0.00062143345208011,0.0009358713620284327,0.00013718935758499435,0.006444204408503259,0.003465276435518467,0.,0.0017694213265265007,0.00009876546206639336,0.00011306319777130585,0.000251697812522288,0.0001970586502508334
