"","Analamanga","Bongolava","Itasy","Vakinankaratra","Diana","Sava","AmoroniMania","AtsimoAtsinanana","HauteMatsiatra","Ihorombe","VatovavyFitovinany","Betsiboka","Boeny","Melaky","Sofia","AlaotraMangoro","Analanjirofo","Atsinanana","Androy","Anosy","AtsimoAndrefana","Menabe"
"Analamanga",0.,0.006972006389216903,0.013258338134940225,0.0205798013407365,0.0011663806966429773,0.001454400088719635,0.0039933918216553494,0.0013392207760320155,0.002508695723917102,0.0005554773871292419,0.002900050541729645,0.0033209824755514685,0.0037491760244047355,0.0011140469746204514,0.002417320360293912,0.011923714984086828,0.0029752300654790763,0.009015305172806232,0.0010067364826009482,0.0011283029585054305,0.0017271200793286146,0.0020816806562548797
"Bongolava",0.017801305589202624,0.,0.004885383799982578,0.008206430814770783,0.0004202066152315513,0.0004969376025989976,0.0018149027680321465,0.0005294629591449466,0.0011271629310336117,0.00023517603614555682,0.0009914522365593239,0.0012373506420866414,0.0016303529095827714,0.0012255364620033802,0.0007438468978883512,0.0018615070865565994,0.0007147579976379934,0.0020216108091372625,0.0004050666025225975,0.00045868666995760597,0.0007551377257269045,0.002510577519534424
"Itasy",0.032501993234548214,0.004694542274619491,0.,0.019095252735178335,0.00048629820611386694,0.0005873264276858447,0.002526555950808109,0.0006953087167293852,0.0019170205108930444,0.0003114676443799638,0.0019134783027598867,0.0009145783394648262,0.001258376720481502,0.0006045981477746802,0.0008515894332047483,0.002793850086602733,0.0009010186804048026,0.003932315378132852,0.0004930463381235714,0.0005782361619283967,0.0009100552446196624,0.0017230496377653153
"Vakinankaratra",0.027975856052108745,0.004386961239137672,0.01062989924352295,0.,0.0006452819055234831,0.0007625110678108316,0.008956635903084303,0.001157834174309311,0.004164006062630792,0.0006075345285782583,0.004103007431246776,0.0007831831171309636,0.0012627422354011453,0.0006194173238666513,0.0010311318614535773,0.004122310654684434,0.0010766754897671412,0.0076193206064239455,0.0007528444052506324,0.0009165222731225658,0.0014412358875902222,0.004437773325150697
"Diana",0.0028479539715713965,0.00040383751963364513,0.0004865505672553903,0.0011599921522847476,0.,0.004408276178728713,0.00044919236947519095,0.0005610830204642594,0.0005730011169097147,0.00019899002579751117,0.0005952882221538963,0.0002513500227520298,0.0007978076225802063,0.00019021948400638647,0.0036406732638718433,0.0007047332456231722,0.0011224542689480502,0.0008093542673896866,0.0006048793363096794,0.0005713126765488941,0.0008230633309139702,0.00043669817949422494
"Sava",0.0035039511776857224,0.0004712468633608813,0.0005798432623307919,0.0013525505100577574,0.004354575656478824,0.,0.0005074831832216029,0.0005924621912294185,0.0006269097340542712,0.00021313158692435165,0.0006584356578210419,0.000301464300764895,0.0008757323896955514,0.0002125158107854089,0.004787229985845038,0.0009228213462757725,0.0037618120025908175,0.001028911744304014,0.0006431947829627745,0.0006047779693762957,0.0008878345084190425,0.0004862638978027327
"AmoroniMania",0.009838235037791703,0.0017580269524638428,0.002548871374410286,0.016253688924634642,0.00045444251011676073,0.0005203054973029953,0.,0.0011899649793252424,0.006082329297918146,0.0007957957868204907,0.004935492325837833,0.00034035576896295974,0.0007393786833600305,0.0003310822110362715,0.0006476756681097692,0.0011732421635883947,0.0006694559386870326,0.003887694121542404,0.0006182438726603873,0.0008084551508787892,0.0019128607355869763,0.0034421818252044203
"AtsimoAtsinanana",0.003261437540095715,0.0005075187048851261,0.0006938747204175173,0.002076066219383644,0.0005605543165447545,0.0005998535930192239,0.0011769584584546242,0.,0.004292156263421994,0.0016612388944073932,0.0043001568670271405,0.00020377422534719402,0.0005579980526008338,0.00020112927288281523,0.0006024576717201416,0.0006547059491896856,0.00056521157710049,0.0010833664241581729,0.0018962958447067064,0.004535221858726588,0.002137715017751776,0.0007481259028516889
"HauteMatsiatra",0.005955944707663348,0.0010530428628856311,0.0018677696656071226,0.007289790184947117,0.0005590412610141653,0.0006198483451246022,0.005869204687727516,0.00419689201923063,0.,0.0019485238579726191,0.006250765785343233,0.0003051850522424215,0.000745610956943565,0.0003093707999784961,0.0006958774578765943,0.0009897384733839314,0.0007023310799834816,0.0018737561629162327,0.0009394525018983477,0.0016799293757389637,0.003616212113723886,0.002420942320625607
"Ihorombe",0.002588551054289441,0.00043133953181803827,0.0005947441726286008,0.0020846102586104943,0.0003803834414816232,0.0004128794564969242,0.0015088502419559472,0.003190900978276776,0.0038341561788760906,0.,0.002114972185456363,0.00015798736743877123,0.00041329974634597564,0.00016532098193934946,0.00042207363521543843,0.0004956624990480312,0.0004036999167998732,0.0008056056935519874,0.0011999010517475663,0.002941151628078782,0.004193594965815767,0.0009881295610306318
"VatovavyFitovinany",0.006884462419163913,0.0009263042322190112,0.0018578697324364685,0.007169610544464349,0.00057979854373392,0.0006499125026533881,0.004754474558866589,0.004196821122718939,0.00624858101413225,0.0010769599606740194,0.,0.0003229083191128352,0.0007680808433375156,0.00029082258612765297,0.0007531482557844533,0.001193157016396453,0.0007998371651787775,0.004790434593768504,0.0008400456955093658,0.0012769131950558692,0.0014549428327786601,0.0012071124389217464
"Betsiboka",0.015513916203881766,0.002269953695720833,0.0017445451239650762,0.0026889548528648845,0.00048072083955307156,0.0005843179044240446,0.000644492433724495,0.0003913887675881081,0.0006002670395154538,0.00015832436652744503,0.0006362132887955884,0.,0.00340957005053262,0.0008156326027321978,0.002391300813045228,0.003319717006545645,0.0013333896260913677,0.0017783348081550014,0.0003415199574807351,0.00035268464683748486,0.0005375341602459526,0.00054800800626226
"Boeny",0.008644856044796938,0.0014758797985040674,0.0011863018772495485,0.002142659953643754,0.0007542337263300095,0.0008404840725567463,0.000693232737397483,0.000529784468901832,0.0007249261380886218,0.000204735775031385,0.0007480489860601359,0.001687475733484092,0.,0.0013271011145740913,0.0035781102043369985,0.001664249818298657,0.0012335940951547935,0.001297740480640951,0.0005078283994070117,0.0005024898393592313,0.0007456822800133835,0.0006819329388005884
"Melaky",0.005215722686573891,0.0022528794266968083,0.0011574695949357451,0.0021344291220205132,0.0003651482890210974,0.0004134206794014831,0.0006292574088062665,0.00038707851986360996,0.000609718227016807,0.00016600373870134113,0.0005731494066542958,0.0008186140762567199,0.0026954191525294796,0.,0.0006044977861580271,0.0007215627354701105,0.0005201141345406057,0.0008259288670730585,0.00033703580866806476,0.00035589227581283347,0.000594265379127752,0.0014871101928341504
"Sofia",0.005789937662923946,0.0007012395851900802,0.0008358366151854128,0.0018215132229501192,0.003581183404014361,0.00477387120278565,0.0006311769025255595,0.0005945390630739748,0.0007032175590367024,0.00021732801386201213,0.0007610904464345465,0.0012298721637693027,0.003723018748763974,0.0003104627108432142,0.,0.0028164261403387124,0.005278820564972831,0.0014129466514689751,0.0006181398851579339,0.0005888814517179472,0.0008550205344244144,0.0005705000467532614
"AlaotraMangoro",0.028225031510151283,0.00173170832788096,0.0027064837036103098,0.007189446325016028,0.0006848052222306343,0.000908783921705817,0.0011286698143672907,0.0006378406040852599,0.0009891018284341824,0.000252379855662924,0.0011924266785916385,0.001688249400808446,0.001713204635644996,0.0003664622430895479,0.0027901489188198246,0.,0.004541374986646067,0.007235629818864064,0.0005157457020200536,0.0005483562695748663,0.0008145027899812606,0.0007450638520716796
"Analanjirofo",0.007094076370934342,0.000670689456646805,0.0008802345919786988,0.001893144139060766,0.001099608124840933,0.0037348038781130246,0.0006493602450726892,0.0005551828644721951,0.0007064337307951279,0.000206896951795982,0.0008045129882404703,0.0006828474465490761,0.0012781963011774264,0.00026543242375269706,0.0052731366509939604,0.004585900399451462,0.,0.00312556430741824,0.0005549918168809935,0.0005347521863989642,0.000790327308787495,0.0005455598497204246
"Atsinanana",0.018564876673801016,0.0016370995476470325,0.0033154483982635327,0.011565453001582128,0.0006846135275748442,0.0008820294533490064,0.003254449817896435,0.0009187509611145116,0.0016272721982309494,0.0003564462722201862,0.004161236509986429,0.0007862452109919267,0.0011609793081258097,0.0003638989087675164,0.001214175480799589,0.006296954604790751,0.002698287776912728,0.,0.0006385517674645171,0.0007358407821885408,0.0010526408464466628,0.0009486745902726513
"Androy",0.002435393422968492,0.00038570282256900914,0.0004887574095192174,0.0013431928252317328,0.0006013080051683432,0.0006479912859793715,0.0006084853459182394,0.001890216442187074,0.0009588593988009804,0.0006239026562718411,0.0008573846482448298,0.00017750240606653853,0.0005339507023829837,0.00017452549475833565,0.0006242345873681298,0.0005275661407455597,0.0005630831557770429,0.0007503775019750768,0.,0.004261483199692571,0.004759918869051373,0.0005723362451489967
"Anosy",0.0026811769766570395,0.00042900590882608355,0.0005630394529837127,0.0016062692534579831,0.0005578658739992548,0.0005984774334546521,0.0007815886060035995,0.004434707327361726,0.0016845213394567173,0.0015020396326433142,0.0012825019604969202,0.00018035985488192255,0.0005198510218668425,0.0001813285047040937,0.0005851323059239013,0.0005519170172563679,0.0005338319392470954,0.0008508340741520385,0.004200366486815388,0.,0.0049884982895818724,0.0006605764011475502
"AtsimoAndrefana",0.003707524904812566,0.0006380418576110959,0.0008005518558111249,0.0022856910981278278,0.0007273166871758691,0.0007937500412484631,0.0016732401144194454,0.0018904973263211236,0.003280795674743795,0.0019366780099872064,0.0013200243332731228,0.00024835428475525773,0.0006969597956999002,0.00027354674446696426,0.0007675574355410516,0.000740644578357128,0.0007128005581012456,0.0010995911075807648,0.0042351126960048155,0.00451017745765282,0.,0.0020765217398163536
"Menabe",0.0050373380189944784,0.0023894576519737664,0.0017080918421857486,0.007924366546015221,0.00043406533008529696,0.0004889851207026443,0.003388601977807742,0.0007442969402376751,0.0024718830185907225,0.0005137642142414256,0.0012320839560914039,0.0002847832973611031,0.0007169409892087875,0.000769923728067333,0.0005760541399624898,0.0007620928424464335,0.0005534490045987218,0.0011147887779109436,0.0005722274464676597,0.0006723810107402452,0.002340542607417435,0.
