"","Analamanga","Bongolava","Itasy","Vakinankaratra","Diana","Sava","AmoroniMania","AtsimoAtsinanana","HauteMatsiatra","Ihorombe","VatovavyFitovinany","Betsiboka","Boeny","Melaky","Sofia","AlaotraMangoro","Analanjirofo","Atsinanana","Androy","Anosy","AtsimoAndrefana","Menabe"
"Analamanga",0.,0.004842046587585725,0.028876978892617554,0.061677308967453354,0.01618300167610544,0.01068692409733025,0.008549662295852198,0.014997284011789985,0.003428028040544444,0.008101027409623261,0.0018387820855992258,0.011341101538505429,0.020299886514441572,0.016796231701275654,0.00880152698127902,0.005980856321477753,0.023872607140869084,0.04287209100718444,0.04190430556660643,0.022053859413315207,0.012831039758139606,0.005646628164086723
"Bongolava",0.0007264065741281426,0.,0.00242654445825419,0.000205850099916235,0.002097500630357351,0.0000307544969994375,0.00003341988673938875,0.00012271044302775562,0.0008724757898768996,0.00009602725563110081,0.002976918149556981,0.000014718223564016517,0.00009700847053536858,0.00018763172169371106,0.0002800123726805929,0.000013824878651175715,0.00003869208622500661,0.0000701934781515733,0.00006228517892314651,0.000014366743598308661,0.00004239727086351027,0.0001057222446852092
"Itasy",0.007461714641997811,0.0022749833680412476,0.,0.0012280710001832528,0.00011313261396221652,0.0009306896591972635,0.00006297349385599108,0.00016504913389698124,0.000038384541255012235,0.00022809585274582812,0.000027840142283776518,0.0003663739292547276,0.00013430928189611492,0.0005634516750268373,0.00006001520414461661,0.0005109493551492261,0.00026419577422373926,0.0004998923812279998,0.00036035483484198055,0.00004140141096067134,0.0001031154349395426,0.0004877663224110788
"Vakinankaratra",0.03148049351360565,0.0007019640715128754,0.0024533008706437006,0.,0.001559311577865766,0.004835588143215843,0.00140013508839582,0.0008159607403907904,0.0012767802654309335,0.00037287630862032294,0.0008548285665986509,0.0005824169481764904,0.0007932609926054912,0.0004469214213961115,0.0014107380673613404,0.0008667056604398623,0.0008604376010514055,0.002799874761830219,0.00468805442760997,0.00023134704242862582,0.006942095447694458,0.006022799597385557
"Diana",0.005031128164137981,0.0024344381124840457,0.00009030106118977696,0.0005811574782993706,0.,0.00032188242359554135,0.0034265049606930437,0.003317663331312177,0.00025473510514676946,0.000029202127150894464,0.0003218970685941125,0.0002263238079187177,0.0009763674097407137,0.001554581243327281,0.0016258145163774067,0.0030878100787378095,0.0038058543586818195,0.0038726355521663124,0.00004630748548201018,0.00010610301464805937,0.0015187742218207931,0.0016082990980862985
"Sava",0.003219146425923979,0.000039014276193572146,0.0014685272317231407,0.0009268380245730482,0.0005400636123086937,0.,0.00001644633339541348,0.0039737153323044635,0.000736189433173678,0.000014791448556872321,1.6255948413988394e-6,0.00005793561434751179,0.00007553890263004697,0.004220454268231379,0.0008636009207427761,0.00031275858948570824,0.003205116517292807,0.0010912427785328984,0.00005355675977473473,3.134029694228393e-6,0.000013444108688325537,0.00018476130197376357
"AmoroniMania",0.008591766666744285,0.000029480382123746517,0.00012319372798060392,0.0005580330255555079,0.0034131926569918583,0.0000382088012721583,0.,0.0010516134123993374,0.010791884802089759,0.00011546116873503107,0.0005644182449325339,0.0002610178095337974,0.002617720269602122,0.00004950009517052321,0.00016179794421418358,0.00023613595696139535,0.0005298121133088812,0.00023017544254293296,0.007152090082206331,0.00012174387312205902,0.00028330749735910405,0.000031984676879415
"AtsimoAtsinanana",0.004615283429709872,0.000048006305316264825,0.00012445319785772376,0.00014226151612025518,0.006724514703922723,0.003908530443664227,0.0006564913509494214,0.,0.0004189787641223369,6.121609402745179e-6,0.0004008921908869534,0.00006506772865166706,0.00002748866231806866,0.00003614385647362464,0.00040352829062976234,0.00031923167885416126,0.000016680653372552055,0.00013362096696327037,0.00004725941038913563,0.0011202105857066541,0.0000175593532868217,0.0006519514013923615
"HauteMatsiatra",0.003795602859682007,0.0003534423955163927,0.00017298672312255036,0.001394921468904487,0.0004804145331283561,0.004910233700933049,0.006411873274425584,0.0010251206099841077,0.,0.0012826821998551112,0.001027610259741205,0.00028455232223765267,0.0005744647139523502,0.00034395243644228055,0.0002161748239089033,0.0007503365017934192,0.00548332178501971,0.009881800655882119,0.0090768236644197,0.0003933793066199479,0.0014577338677761952,0.00037157290374748963
"Ihorombe",0.001758527493429265,0.00003998084609926875,0.00013190750213044455,0.00012079194821493358,0.00005849212429321589,0.000017705803272533305,0.00004718618539627982,0.00003958543113784741,0.0004964800965609194,0.,0.000037183651372177055,0.000057950259346082945,0.0000409327710063942,0.00013821949651461482,0.00008835327637981259,0.00010897343436800688,0.0003939504615642232,0.00033326158748533323,0.00012837805747479482,0.00008951023126693429,0.0003110011896571689,0.00003107668696800304
"VatovavyFitovinany",0.003326845745416295,0.0023343834822458754,0.00007432336774864062,0.0006138451151102013,0.0022295838724706494,0.000044740470634895986,0.0017561842936578793,0.0030545219969855615,0.005198535142804919,0.00027211871845073723,0.,0.00016433152896699437,0.010607826460047412,0.002167313338546074,0.00023408565716143286,0.00017474412295108964,0.00034875599597362125,0.0009979834276317469,0.0008127241957065638,0.0005313059031631396,0.00023887457169420243,0.00045608919050165814
"Betsiboka",0.001908155443830814,0.000026800347385224106,0.00017245950317398858,0.0002536367302539324,0.0006548511111094513,0.000024047087653845894,0.0007799926239000196,0.00006987128818300777,0.00004162108593923875,0.000048694620249109375,0.000048006305316264825,0.,0.001972007637601075,5.565099457041071e-6,0.0009173773554960784,0.00009640802559395098,0.00014457542589449857,0.001961082468666989,0.0004048463405011668,0.00001250682877977125,0.00007354718282436911,0.000021352407916752322
"Boeny",0.0033183370012464506,0.00028714448698474813,0.00009071112114976946,0.000149715820392976,0.0008462465974359507,0.0001309995122190326,0.000524510623826121,0.000012667923764054018,0.00006531669362737679,0.00004867997525053822,0.0010810352145287994,0.0009042554367763183,0.,0.00010053791519101831,0.0022124638691409628,0.00005740839439895,0.00011972286331923884,0.001936391001076012,0.0013718702411534799,1.3766298656891071e-6,0.000012799728751194465,0.000012536118776913572
"Melaky",0.0022102378293581463,0.0002630388193366176,0.00006641506852021384,0.0000642329637331109,0.0006359297729555117,0.0015183055818665159,0.00005459655467328714,0.000012433603786915447,0.0001589568144913784,0.00004377390072919937,0.0002702148686364863,8.040104215567233e-6,0.00016761200864693439,0.,8.230489196992322e-6,0.00044907423618607215,6.56095935988e-6,0.00023755652182279796,2.1821047871029466e-6,5.272199485617858e-7,0.00024136422145129972,0.0008962446225578934
