"","AN","BG","IT","VA","DI","SA","AM","AA","MA","IH","VF","BE","BO","MK","SO","AL","AJ","AT","AY","AS","AD","ME"
"AN",0.,0.01675770533525303,0.07734298314701808,0.03008828737768013,0.0004224302213380213,0.0001501626225859544,0.008281544907685888,0.0011117061562627077,0.003738375125730464,0.0012497505331731551,0.0017387165383176831,0.005696479050825661,0.0023821602156355193,0.00014419142456552548,0.002776949129766521,0.007465632821291602,0.002433776516693345,0.006215096355694705,0.0001759088222721696,0.0001274757896943218,0.0007602486322892983,0.001616937227167158
"BG",0.01675770533525303,0.,0.03339347091235853,0.003247716581696453,0.00013835656275620631,0.00005524312971788581,0.0012872251136961442,0.00031629402166882874,0.0008351058437023047,0.0003155388485939125,0.00046789105638906015,0.0008854206522579529,0.0005661661440526661,0.000034052915995679594,0.0006744210133198166,0.0013053229707856687,0.0005910767348915403,0.0011926307152980767,0.0000633156662538389,0.00004689690060482498,0.00024115857609952979,0.0004082466839310151
"IT",0.07734298314701808,0.03339347091235853,0.,0.006661959188393563,0.00018242045276240597,0.00006894318242462515,0.002320710165650975,0.0004447272673077044,0.0013039034854761856,0.00046764310294509614,0.0006743734698276909,0.0015963056397122117,0.0008611645175294502,0.00006437550058872502,0.0010163922879382879,0.0022499077119733156,0.000890787539323922,0.001981594801737999,0.00007984870273075728,0.00005852712527438788,0.0003227144790080428,0.0006050403837476289
"VA",0.03008828737768013,0.003247716581696453,0.006661959188393563,0.,0.00030450190077730885,0.00009918847057762232,0.057779986486263764,0.0014606965894731494,0.007794605407408507,0.0013531571229069936,0.002506394883370814,0.0015897636640755514,0.0010854446745659318,0.0000926169524746476,0.0012109159849961334,0.0023436939533161526,0.001061272191262634,0.0021413561689647004,0.00016658756129275796,0.00011760570638076466,0.0008486755719761028,0.0026152812976728535
"DI",0.0004224302213380213,0.00013835656275620631,0.00018242045276240597,0.00030450190077730885,0.,0.00019062964011510927,0.00016427064810660628,0.00008377805575791178,0.00016603439921259594,0.00006546040245778207,0.00010997686624068889,0.0002305998571462877,0.00032278244328034995,0.000042586220005475875,0.001173362837150838,0.00015692548919922302,0.00011426220281828979,0.00017063126990710418,0.00003970965448567771,0.000025892636656803732,0.00008348844971601552,0.00008469319182492183
"SA",0.0001501626225859544,0.00005524312971788581,0.00006894318242462515,0.00009918847057762232,0.00019062964011510927,0.,0.00005696089055720123,0.00004328701172641325,0.00006448952490518083,0.000031622834420152666,0.000054913690620371954,0.00006476805464164374,0.00008667464056393755,0.000021264167554721584,0.00017189998666199463,0.00006737329017713225,0.000054236432586539086,0.00007325763404917156,0.000021342810641085406,0.000017754896625547114,0.00004706126170965108,0.00004091387588582318
"AM",0.008281544907685888,0.0012872251136961442,0.002320710165650975,0.057779986486263764,0.00016427064810660628,0.00005696089055720123,0.,0.0012548249217514402,0.010439332272489533,0.002069349878038384,0.002318709040166415,0.0006837014236111931,0.0005233458409316255,0.00005189773409273665,0.0005925232235959027,0.001039192427080417,0.0005192997926124753,0.0009742978390746757,0.00011494793432669434,0.00007993400548081414,0.0008212173876766571,0.002677341409359884
"AA",0.0011117061562627077,0.00031629402166882874,0.0004447272673077044,0.0014606965894731494,0.00008377805575791178,0.00004328701172641325,0.0012548249217514402,0.,0.004269812908506155,0.001070869684456285,0.041164285854547414,0.0002020865498092219,0.00020303236275658786,0.00003478768502357087,0.0002489734250384553,0.0003313702685237761,0.00025141112613334053,0.0003323375340144265,0.0005101706968238444,0.001086480690275051,0.0011487425839176075,0.0005036818961244309
"MA",0.003738375125730464,0.0008351058437023047,0.0013039034854761856,0.007794605407408507,0.00016603439921259594,0.00006448952490518083,0.010439332272489533,0.004269812908506155,0.,0.012646781904687527,0.010966317103963308,0.0012345196090562747,0.00042119658697397684,0.00005490990084197557,0.0005108661217606016,0.000777537289003393,0.0004477337942520005,0.000755333625272234,0.00019468633058842392,0.00013035058695180245,0.0052691290600933175,0.0017282898598711108
"IH",0.0012497505331731551,0.0003155388485939125,0.00046764310294509614,0.0013531571229069936,0.00006546040245778207,0.000031622834420152666,0.002069349878038384,0.001070869684456285,0.012646781904687527,0.,0.002078966421557737,0.0001932048160226562,0.00017850509845187992,0.00002627415796291085,0.00021760383419021446,0.00031104187502664106,0.00019071256866671655,0.00030676470813751445,0.0001254892001058571,0.00008154366783170166,0.009308384007811752,0.0005293760072017998
"VF",0.0017387165383176831,0.00046789105638906015,0.0006743734698276909,0.002506394883370814,0.00010997686624068889,0.000054913690620371954,0.002318709040166415,0.041164285854547414,0.010966317103963308,0.002078966421557737,0.,0.0002929461724478399,0.00028261311539890205,0.000044888055701755045,0.0003455574814198458,0.00047614009867591,0.00030285383136205587,0.0004736849425446679,0.00047670922783308635,0.0009111667626182458,0.0019157244892128878,0.0007912491147888036
"BE",0.005696479050825661,0.0008854206522579529,0.0015963056397122117,0.0015897636640755514,0.0002305998571462877,0.00006476805464164374,0.0006837014236111931,0.0002020865498092219,0.0012345196090562747,0.0001932048160226562,0.0002929461724478399,0.,0.003439191688880774,0.00006895523151874812,0.003668115733440389,0.0007148108181054858,0.0003572015152595098,0.0006701729316715686,0.00004447529540185771,0.000033261189796838374,0.00016067589799378877,0.00024996993496119685
"BO",0.0023821602156355193,0.0005661661440526661,0.0008611645175294502,0.0010854446745659318,0.00032278244328034995,0.00008667464056393755,0.0005233458409316255,0.00020303236275658786,0.00042119658697397684,0.00017850509845187992,0.00028261311539890205,0.003439191688880774,0.,0.00016004658541708097,0.0025044833846414433,0.0005422405706170938,0.0003511970908016738,0.0005306783547208444,0.000054998569672379776,0.00004208710095846172,0.00017627640388614507,0.00023095132289572932
"MK",0.00014419142456552548,0.000034052915995679594,0.00006437550058872502,0.0000926169524746476,0.000042586220005475875,0.000021264167554721584,0.00005189773409273665,0.00003478768502357087,0.00005490990084197557,0.00002627415796291085,0.000044888055701755045,0.00006895523151874812,0.00016004658541708097,0.,0.00010744959533687966,0.00005926347253469402,0.00004742851537816736,0.00006151082800150168,0.000015117676386858987,0.00001232649155639538,0.00003619482216570914,0.000034705606491511825
"SO",0.002776949129766521,0.0006744210133198166,0.0010163922879382879,0.0012109159849961334,0.001173362837150838,0.00017189998666199463,0.0005925232235959027,0.0002489734250384553,0.0005108661217606016,0.00021760383419021446,0.0003455574814198458,0.003668115733440389,0.0025044833846414433,0.00010744959533687966,0.,0.000652517299746382,0.00039179350318450874,0.0007095077801588335,0.00006852281677824575,0.00005253445245889766,0.00021757533182986967,0.0002815375796504803
"AL",0.007465632821291602,0.0013053229707856687,0.0022499077119733156,0.0023436939533161526,0.00015692548919922302,0.00006737329017713225,0.001039192427080417,0.0003313702685237761,0.000777537289003393,0.00031104187502664106,0.00047614009867591,0.0007148108181054858,0.0005422405706170938,0.00005926347253469402,0.000652517299746382,0.,0.001053309336933203,0.0023431314590155513,0.00007613123201947964,0.000057194415106319254,0.0002684253693953057,0.0004024284635922362
"AJ",0.002433776516693345,0.0005910767348915403,0.000890787539323922,0.001061272191262634,0.00011426220281828979,0.000054236432586539086,0.0005192997926124753,0.00025141112613334053,0.0004477337942520005,0.00019071256866671655,0.00030285383136205587,0.0003572015152595098,0.0003511970908016738,0.00004742851537816736,0.00039179350318450874,0.001053309336933203,0.,0.014029983239463537,0.000060054835194837306,0.000046042297045087763,0.00019068758859973084,0.0002467454454153545
"AT",0.006215096355694705,0.0011926307152980767,0.001981594801737999,0.0021413561689647004,0.00017063126990710418,0.00007325763404917156,0.0009742978390746757,0.0003323375340144265,0.000755333625272234,0.00030676470813751445,0.0004736849425446679,0.0006701729316715686,0.0005306783547208444,0.00006151082800150168,0.0007095077801588335,0.0023431314590155513,0.014029983239463537,0.,0.00007950238209460139,0.00005998851070011958,0.00027391267089649235,0.00039689463089022007
"AY",0.0001759088222721696,0.0000633156662538389,0.00007984870273075728,0.00016658756129275796,0.00003970965448567771,0.000021342810641085406,0.00011494793432669434,0.0005101706968238444,0.00019468633058842392,0.0001254892001058571,0.00047670922783308635,0.00004447529540185771,0.000054998569672379776,0.000015117676386858987,0.00006852281677824575,0.00007613123201947964,0.000060054835194837306,0.00007950238209460139,0.,0.004076617793636113,0.0005470291262168908,0.00011146437556495003
"AS",0.0001274757896943218,0.00004689690060482498,0.00005852712527438788,0.00011760570638076466,0.000025892636656803732,0.000017754896625547114,0.00007993400548081414,0.001086480690275051,0.00013035058695180245,0.00008154366783170166,0.0009111667626182458,0.000033261189796838374,0.00004208710095846172,0.00001232649155639538,0.00005253445245889766,0.000057194415106319254,0.000046042297045087763,0.00005998851070011958,0.004076617793636113,0.,0.0003063710535389107,0.0001536739181369893
"AD",0.0007602486322892983,0.00024115857609952979,0.0003227144790080428,0.0008486755719761028,0.00008348844971601552,0.00004706126170965108,0.0008212173876766571,0.0011487425839176075,0.0052691290600933175,0.009308384007811752,0.0019157244892128878,0.00016067589799378877,0.00017627640388614507,0.00003619482216570914,0.00021757533182986967,0.0002684253693953057,0.00019068758859973084,0.00027391267089649235,0.0005470291262168908,0.0003063710535389107,0.,0.0006475687851892636
"ME",0.001616937227167158,0.0004082466839310151,0.0006050403837476289,0.0026152812976728535,0.00008469319182492183,0.00004091387588582318,0.002677341409359884,0.0005036818961244309,0.0017282898598711108,0.0005293760072017998,0.0007912491147888036,0.00024996993496119685,0.00023095132289572932,0.000034705606491511825,0.0002815375796504803,0.0004024284635922362,0.0002467454454153545,0.00039689463089022007,0.00011146437556495003,0.0001536739181369893,0.0006475687851892636,0.
