"","AN","BG","IT","VA","DI","SA","AM","AA","MA","IH","VF","BE","BO","MK","SO","AL","AJ","AT","AY","AS","AD","ME"
"AN",0.,0.01824481896851753,0.09716107264152979,0.058817342229274726,0.0005282359624610736,0.0002109583106227187,0.01002572292566156,0.001493305604499257,0.005962164601187784,0.0010718248984976197,0.002762043812110245,0.004743577329778972,0.003047390369292695,0.00010639618264425665,0.004509089080473184,0.011089700282461232,0.003463493362296419,0.010038438907141086,0.00022164824537704547,0.00015202967663331088,0.0013518367646380076,0.001794169626098554
"BG",0.01824481896851753,0.,0.01811229931854903,0.0027411114477412383,0.00007469875974394155,0.00003350840162468418,0.0006728209162715062,0.00018343842405637963,0.0005750468767523744,0.00011684065695107743,0.00032091289243469566,0.0003183389436444088,0.0003127099225713131,0.000010848796523043357,0.00047281650394893877,0.0008371664319459974,0.0003631768620635676,0.0008316966404129115,0.000034445183351535946,0.0000241482378601833,0.00018514498793790384,0.0001955841463366505
"IT",0.09716107264152979,0.01811229931854903,0.,0.006487791903455407,0.00011364060288857319,0.000048251757519863666,0.0013996268244587582,0.00029760447554156156,0.001035985186237236,0.00019980302543990693,0.0005336902521396244,0.0006622203828972263,0.0005488204260100069,0.000023664331949311045,0.0008221844676012298,0.0016649642104065072,0.0006315312018234169,0.0015944840683108318,0.000050122365278505576,0.00003477321690280827,0.0002858736144190894,0.00033445810033836776
"VA",0.058817342229274726,0.0027411114477412383,0.006487791903455407,0.,0.000295179745364824,0.00010802382469872085,0.054225720928702745,0.0015210456956889972,0.00963693166896488,0.000899647340723037,0.003086560792535783,0.0010262557620082753,0.0010764364059116043,0.000052978622522857184,0.0015242579371382834,0.002698843140926462,0.0011708034934524011,0.002681209718469411,0.00016272070193530194,0.00010873080848410713,0.0011698599397755496,0.0022496362941104805
"DI",0.0005282359624610736,0.00007469875974394155,0.00011364060288857319,0.000295179745364824,0.,0.00013280482085159813,0.00009861725857113307,0.000055805574047218674,0.0001313130160345199,0.000027839908264931282,0.0000866346722166329,0.00009522415603640661,0.00020476496248867678,0.000015582757966757343,0.0009448042501273859,0.00011559399982495455,0.00008063523830823461,0.0001366675959982621,0.000024811978891357865,0.000015313185935032908,0.0000736179332147606,0.0000466023115084602
"SA",0.0002109583106227187,0.00003350840162468418,0.000048251757519863666,0.00010802382469872085,0.00013280482085159813,0.,0.000038417715486496874,0.000032394159672132966,0.00005730080050530876,0.000015109557063050116,0.00004859961614082657,0.000030047667269536438,0.00006177312912654414,8.741489250049151e-6,0.0001555060043182991,0.00005575596892381222,0.00004300066853657569,0.00006592067275905617,0.000014982307840831853,0.00001179693637462552,0.00004662110905499636,0.00002529247863557407
"AM",0.01002572292566156,0.0006728209162715062,0.0013996268244587582,0.054225720928702745,0.00009861725857113307,0.000038417715486496874,0.,0.0008092110245037237,0.007993072924175958,0.0008520290601808986,0.0017683490942086652,0.00027332914032283755,0.00032141480072418483,0.000018384633698158867,0.00046189816721662767,0.0007410868831536418,0.00035479033739643724,0.0007554922688019734,0.00006953409695790842,0.00004576697491944608,0.0007010463184432365,0.0014262447741908474
"AA",0.001493305604499257,0.00018343842405637963,0.00029760447554156156,0.0015210456956889972,0.000055805574047218674,0.000032394159672132966,0.0008092110245037237,0.,0.003627473493352013,0.000489228167091766,0.03483346536913225,0.00008964193199211864,0.00013835558996762851,0.000013673713039161382,0.00021535164985305393,0.0002622050431589577,0.00019058664944796366,0.0002859380990511251,0.0003424258205421086,0.0006902350219907214,0.001088092069464594,0.0002977151941454145
"MA",0.005962164601187784,0.0005750468767523744,0.001035985186237236,0.00963693166896488,0.0001313130160345199,0.00005730080050530876,0.007993072924175958,0.003627473493352013,0.,0.006859891668037512,0.011017911899247184,0.0006501808745321484,0.0003407835982746561,0.000025625596922190492,0.0005246440015650294,0.0007304847028936074,0.00040298627606585787,0.0007716028982085002,0.00015514895465624143,0.00009832192418281782,0.005925761382659274,0.0012128962111190124
"IH",0.0010718248984976197,0.00011684065695107743,0.00019980302543990693,0.000899647340723037,0.000027839908264931282,0.000015109557063050116,0.0008520290601808986,0.000489228167091766,0.006859891668037512,0.,0.0011232214739879478,0.00005471842307165984,0.00007766474009373514,6.593736156842778e-6,0.00012017208030153426,0.00015714052090634077,0.00009230582830136473,0.00016851550009461003,0.00005377732213449974,0.00003307554794523416,0.005629360248458811,0.00019977941583564123
